Item Name,Sale Price,Discount,Free Shipping,Total reviews
"Bar Bracelet 14K Gold Filled, Sterling Silver or Rose Gold - Custom Personalized Bracelet - Bar Bracelet for Names, Dates, Initials",39.67,(25% off),O,3200.0
"14K 18K Solid Gold Tube Braided Leather Bracelet, Custom Engrave Mens Bangle Cuff Jewelry Classic Gold Tube Bracelet Gift For Him, For Dad",252.00,(10% off),O,13600.0
"Personalized Mens Bracelet, Couples Bracelet, Custom Beaded Bracelet, Personalized Friendship Bracelet, Bridesmaid Gift, Graduation Gift",18.15,(30% off),O,5600.0
Engraved Bracelet for Women - Custom Name Bracelet - Roman Numeral Bar Bracelet - Kid's Name Bracelet - Bridesmaids Gift,80.39,(40% off),O,8000.0
"Garnet Bracelet, Red Garnet Bracelet,  Bracelet for Women, January Birthstone Bracelet, Gold Bracelet, Silver Bracelet, Dainty Bracelet",21.25,(15% off),X,11900.0
Sand Dollar - Beachy Gifts - Gift for Beach Lover - Ocean Lover Gift - Gift for Girlfriend,14.95,No discount,X,1500.0
"Lush Cuff in Lavender, Bio Black and Sage Gray | Purple Black Gray Thick Bangle Bracelet",15.00,No discount,O,21100.0
"Larimar bracelet, gold filled or silver, dainty bracelet, genuine stone, birthstone jewelry, gold bracelet, larimar jewelry, women bracelet",36.27,No discount,O,17200.0
"Pearl Heart Bracelet, Double Chain Bracelet, Delicate Pearl Bracelet for Her, Christmas Gift, Mermaidcore Jewelry, Summer Jewelry, Layering",14.85,(10% off),X,2600.0
"Antique silver black or turquoise enamel circle engraved coin cuff, stacking bracelets, cuff party, bohemian delicate minimalist cuff bangle",25.58,(10% off),X,2800.0
"Diamond Tennis Bracelet • Dainty, Perfect for Everyday Wear • Perfect Gift for Her • Bridesmaid Gifts  • BR010",29.05,(30% off),O,570300.0
Sterling Silver Infinity Heart Bracelet Mom Bracelet with Kids Initials Family Bracelet Heart Infinity Wife Christmas Gift Mothers Jewelry,43.45,(10% off),O,23600.0
"Crystal Bead Friendship Bracelet Wrap, Surf Beach Surfer Chakra Leather Agate stones double",23.89,No discount,X,1300.0
Satellite layered bracelet / Double beaded chain layered  Bracelet / / Dainty Thin bracelet . Minimal jewelry simple and delicate Bracelet,29.00,No discount,X,10600.0
"Curb-Link Bracelet 14k Gold 4MM Miami Cuban Chain Bracelet with Bezel Setting Solitaire Diamonds by Ferkos Fine Jewelry, Holiday Gift Idea",714.00,(15% off),O,31400.0
"Pendant Bracelet with Real Dried Olive Leaves Inside, Textile Cord Bracelet, Resin Pendant, Friendship Gift, Christmas Gift, Green Bracelet",29.90,No discount,X,4100.0
14k gold filled Satellite bracelet | 14k Gold Fill Bracelet box and bead chain | Delicate minimalist bracelet | Dainty beaded bracelet,26.33,No discount,X,5900.0
Rattan Bangle Assorted Set,27.00,(10% off),X,1600.0
"Bracelet little paper boat"" * Bracelet PAPER BOAT * Origami ship bracelet * Bracelet ship * Maritim bracelet * Paper ship origami",51.17,No discount,O,1300.0
"Custom word beaded bracelet, morse code bracelet, personalized gift for her, colorful dainty bracelet",16.00,No discount,X,2800.0
"Antique Silver Hammered Two INTERSECTING CURVED LINES cuff bracelet, Bohemian Stacking Layering Modern Minimalist Abstract Bangle Jewelry",29.88,(10% off),X,12200.0
